ID,MATANITU ,YASANA ,TIKINA          ,KORO                                                                    ,NA_I_CAVUTI ,,Needs accuracy check
1,KUBUNA,LOMAIVITI,LEVUKA ,LEVUKAVAKAVITI,NABUKEBUKE VUA NA TUI LEVUKA,,
2,,,,VAGADACI,VAKATURAGA I NA BATILEKALEKA VUA NA TUI VAGADACI,,
3,,,,WAITOVU,NAIRAGAVESI VUA NAGTUI WAI,,
4,,,,VUMA,LEVUKANAILOMA  VUA NA TURAGA NA TUI VUMA,,
5,,,,TOKI,UCUIMUA VUA  NA GONE TURAGA NA ROKOTUI TOKI,,
6,,,,VATUKALO,NABURENI VUA NA TURAGA NA TUI NAKUMINI ,,
7,,,,NAUOUO,VAKATURAGA I QALIBURE VUA NA TUI CAWACI,,
8,,,,AROVUDI,TOMUNA VUA NA TUI TOMUNA,,
9,,,,TAVIYA,VAKATURAGA I LEVUKAIKELA VUA NA ROKOTUI KELA,,
10,,,,RUKURUKU,VAKATURAGA I NACOBULEI VUA NA ROKOMATAIRUA,,
11,,,BATIKI,MUA,VAKATURAGA I NAKOROOLEVU VUA NA TURAGA NA TORA NI BAU,,
12,,,,YAVU,VAKATURAGA I VUNIVESI VUA NA TURAGA NA KOMAI NAVUNIVESI,,
13,,,,MANUKU,VAKATURAGA I MANUKU VUA NA TURAGA NA KOMAI MANUKU,,
14,,,,NAIGANI,VAKATURAGA I NAIGANI VUA NA TURAGA NA KOMAI NAIGANI,,
15,,,CAWA ,NABASOVI,CAWA LAILAI VUA NA TUI NAIGANI,,
16,,,,VATULELE,VAKATURAGA I KOROLEVU VUA NA TUI BUCABUCA,,
17,,,,NABUNA,VAKATURAGA I NADURUVESI VUA NA TUI NABUNA,,
18,,,,TAVUA,VAKATURAGA I CAWALEVU VUA NA RATU NI CAWA,,
19,,,,NAVAGA,VAKATURAGA I NAVUKAILAGI VUA NA TAKALA NAICIBACIBA VUA NA TUI TAGADREGA ,,
20,,,,KADE,VAKATURAGA I KADE VUA NA TURAGA NA TUI KADE,,
21,,,LOVONI ,NACOBO,VAKATURAGA I NASAUMATUA VUA NA TUNIMAKUBU,,
22,,,,NUKUTOCIA,VAKATURAGA I GAVO VUA NA TUI GAVO NA VUNIVALU,,
23,,,,LOVONI,WAILEVU VUA NA TUI WAILEVU,,
24,,,,VISOTO,VAKATURAGA INA VAKAVANUA VUA NA SAUTURAGA,,
25,,,,VUNIIVISAVU,VAKATURAGA I NAVUIVULA VUA NA TUIRARA,,
26,,,,NASAUMATUA,NASAUMATUA VUA NA TURAGA NA TUI NAMAKUBU,,
27,,,NASINU ,NAIKOROKORO,VAKATURAGA I DELAI VUA NA ROKOTUI OVALAU,,
28,,,,NASINU,VAKATURAGA I NAKOROVATU VUA NA ROKOTAKALA,,
29,,,,TOKOU,VAKATURAGA INA VANUA VUA NA ROKOTUI TOKOU,,
30,,,,NATOKALAU,VAKATURAGA I NAROCAKE VUA NA TUI NARO,,
31,,,,DRAIBA,VAKATURAGA VEI TUI DRAIBA NA RABO,,
32,,,NAVUAKAILAGI,QARANI,VAKATURAGA I NAISOGOVONO VUA NA TUI QARANI,,
